"title","category","year","month","day","millis"
"Common market but no common ground | Letters","politics",2020,2,2,1580670200000
"What the coronavirus market fall means for your pension","money",2020,3,9,1583756604000
"Coronavirus: from one food market to global panic","world news",2020,1,26,1580012428000
"The big picture: Massimo Vitali shoots a bustling Brazilian market","art and design",2020,3,15,1584255590000
"How will the stock market fall affect my personal finances?","money",2020,3,9,1583776925000
"Australian stock market falls more than 2% over coronavirus impact","business",2020,3,2,1583106693000
"Australian government signals second round stimulus package as market tumbles 9.7%","world news",2020,3,16,1584395350000
"Australian stock market: mayhem as ASX200 tumbles 9.7% on coronavirus fears","business",2020,3,16,1584339425000
"Australian government unveils $17.6bn stimulus package as coronavirus hammers stock market","world news",2020,3,12,1584007730000
"Wall Street ends 11-year ‘bull market’ as coronavirus fears spread","business",2020,3,11,1583962382000
"Coronavirus: British pensions set to take a hit from market tumble","world news",2020,2,29,1583007504000
"‘Bear markets’: why stock markets are giving us paws for thought","books",2020,3,12,1583992823000
"Coronavirus fears trigger biggest one-day fall on US stock market","business",2020,2,27,1582839735000
"Elon Musk's SpaceX clears first hurdle to Australian broadband market","technology",2020,2,4,1580801410000
"'The legal stuff is garbage': why Canada's cannabis black market keeps thriving","society",2020,3,18,1584522019000
"Australian housing market will hit the wall in coronavirus recession, experts say","australia news",2020,3,19,1584635403000
"All sectors of New Zealand housing market 'severely' unaffordable: survey","world news",2020,1,20,1579483675000
"Australia's stock market takes fresh dive as coronavirus cases rise to 122","world news",2020,3,11,1583915470000
"Why AAP's closure is a brutal hit to Australia's concentrated media market","media",2020,3,4,1583288519000
"Simon Blackwell: ‘I nearly died in an old Smithfield meat market van’","life and style",2020,2,29,1582984847000
"Market in turmoil over fears of a coronavirus-induced global recession | Nils Pratley","business",2020,2,27,1582833370000
"The week that shook the markets: in charts","world news",2020,3,14,1584165680000
"Change climate policy now to avert oil market crisis, warns thinktank","business",2020,1,31,1580428890000
"The NFL combine: an ethically dubious meat market wrapped in junk science","sport",2020,2,20,1582189220000
"The Guardian view on the market meltdown: a wake-up call for Westminster | Editorial","opinion",2020,3,9,1583780273000
"Dow Jones plunges into bear market after coronavirus declared pandemic – as it happened","business",2020,3,11,1583962214000
"Shake it off! Taylor Swift label Universal Music plans stock market flotation","business",2020,2,14,1581699409000
"Sustainable seafood: how to navigate the fish market this Christmas","food",2019,12,23,1577120449000
"French market trips can propel Frank's Brentford to new heights | Ben Fisher","football",2019,12,18,1576666816000
"Wales: market trader from Taiwan told to leave stall over coronavirus fears","uk news",2020,2,4,1580813356000
"The Ashford hair boom: how does one market town support 28 hair salons?","fashion",2020,2,25,1582650319000
"Retailer Beales puts itself on the market in 'challenging times'","business",2019,12,17,1576600884000
"Morning mail: 'Test, test, test,' says WHO, stock market mayhem, Olympics to go ahead","australia news",2020,3,16,1584389160000
"Coronavirus hits Torres Strait's traditional fishers as rock lobster market hits rock bottom","australia news",2020,2,23,1582420382000
"Australia heads for recession as stock market falls 7.33% in worst day since GFC","world news",2020,3,9,1583746564000
"Opec considering huge oil production cuts to avoid market slump","business",2019,12,5,1575559097000
"From JD Sports to Games Workshop: best market performers of decade","business",2020,1,1,1577891360000
"Mother's Day marketing is not what it used to be","life and style",2020,3,15,1584259252000
"Aston Martin blames tough European market for £13.5m loss","business",2019,11,7,1573119724000
"Market economics has driven universities into crisis – and we’re all paying the price | Owen Jones","opinion",2020,2,14,1581663624000
"Housing market that makes losers of us all | Letters","society",2019,10,9,1570638535000
"UK could tap into Africa's $24bn market for off-grid solar power","environment",2020,1,21,1579630366000
"Buoyant jobs market eases pressure on Bank of England to cut rates","business",2020,1,21,1579608179000
"Market slide wipes out gains of Trump presidency as Covid-19 crisis deepens – business live","business",2020,3,18,1584561995000
"Labour leadership: Keir Starmer slams free market as divisions grow on left","politics",2020,1,12,1578818177000
"Australian stocks remain in freefall as coronavirus panic drives market down 10% for week","world news",2020,2,28,1582877976000
"Republican senator urged to quit after report he sold stocks before Covid-19 market plunge","us news",2020,3,20,1584711216000
"‘Tacky’ Christmas market inflames battle for the soul of Edinburgh","uk news",2019,11,23,1574519703000
"World Chess to issue digital tokens in stock market flotation","sport",2019,11,21,1574365657000
"Even for this resilient bull market, the threats are starting to multiply","business",2020,1,5,1578207654000
